,level_0,id,docid,title,author,date,genre,lhs,match,rhs,Level 1,Level 2,domain,comment,index,Unnamed: 0,Unnamed: 0.1,Context before,token,Context after
412,32,311,N00277,"Kometographia. Or A discourse concerning comets; wherein the nature of blazing stars is enquired into: with an historical account of all the comets which have appeared from the beginning of the world unto this present year, M.DC.LXXXIII. : Expressing the place in the heavens, where they were seen, their motion, forms, duration; and the remarkable events which have followed in the world, so far as thay have been by learned men observed. : As also two sermons occasioned by the late blazing stars. / By Mr. Increase Mather, teacher of a church at Boston in New-England. ; [Three lines of Scripture texts]","Mather, Increase",1683,science+sermons,was broken into many little Stars . Decemb. 24 . it was dissolved into more and lesser Stars In the ,Blaz,"ing Star that appea_ed A.D. 1652 . not only Hevelius and Wendelin , but the Astronomers in Mantua vi",Y,LIT,,,32,,,was broken into many little stars . decemb. 24 . it was dissolved into more and lesser stars in the,Blazing,"star that appea_ed a.d. 1652 . not only hevelius and wendelin , but the astronomers in mantua vi"
413,34,259,99895792,"Decennium luctuosum An history of remarkable occurrences, in the long war, which New-England hath had with the Indian salvages, from the year, 1688. To the year 1698. Faithfully composed and improved. [One line of quotation in Latin]","Mather, Cotton",1699,prose,would be Three---So_ Hight_ between the English and the Dutch . IV . That there would appear Three ,Blaz,"i__ Stars ; the Last of which , would be terrible t_ behold . [ He said , the man show'd him th_ Sta",Y,LIT,,,34,,,would be three---so_ hight_ between the english and the dutch . iv . that there would appear three,Blaz,"i__ stars ; the last of which , would be terrible t_ behold . [ he said , the man show'd him th_ sta"
414,35,299,A53057.a16,"Philosophicall fancies. Written by the Right Honourable, the Lady Newcastle.","Cavendish, Margaret",1653,poetry,", like Larks might sing . And as they flye , like wandring Planets shew , Their tailes may like to ",blaz,"ing Comets grow . When they on Trees do rest themselves from flight , Appeare like fixed Stars in Cl",Y,LIT,,,35,,,", like larks might sing . and as they flye , like wandring planets shew , their tailes may like to",blazing,"comets grow . when they on trees do rest themselves from flight , appeare like fixed stars in cl"
415,36,105,N00242.a0,"Heavens alarm to the world. Or A sermon wherein is shewed, that fearful sights and signs in heaven are the presages of great calamities at hand. By Increase Mather; teacher of a church in Boston in New-England. ; [Eleven lines of Scripture texts]","Mather, Increase",1681,sermons,"hall their sins be forgiven . You will say , But what shall we doe that so the Judgements which are ",blaz,ing over us may be diverted from us ? Answ . Pray and cry mightily to heaven . For this let every on,Y,MET,UNK,,36,,,"hall their sins be forgiven . you will say , but what shall we doe that so the judgements which are",blazing,over us may be diverted from us ? answ . pray and cry mightily to heaven . for this let every on
416,37,454,N00277,"Kometographia. Or A discourse concerning comets; wherein the nature of blazing stars is enquired into: with an historical account of all the comets which have appeared from the beginning of the world unto this present year, M.DC.LXXXIII. : Expressing the place in the heavens, where they were seen, their motion, forms, duration; and the remarkable events which have followed in the world, so far as thay have been by learned men observed. : As also two sermons occasioned by the late blazing stars. / By Mr. Increase Mather, teacher of a church at Boston in New-England. ; [Three lines of Scripture texts]","Mather, Increase",1683,science+sermons,"have the like natural influence , especially when they are near to the Sun , and that therefore the ",Blaz,"e proceeding from them reacheth the Earth , though by us undiscernable . The light which the Moon re",Y,LIT,,,37,,,"have the like natural influence , especially when they are near to the sun , and that therefore the",Blaze,"proceeding from them reacheth the earth , though by us undiscernable . the light which the moon re"
417,38,430,N00277,"Kometographia. Or A discourse concerning comets; wherein the nature of blazing stars is enquired into: with an historical account of all the comets which have appeared from the beginning of the world unto this present year, M.DC.LXXXIII. : Expressing the place in the heavens, where they were seen, their motion, forms, duration; and the remarkable events which have followed in the world, so far as thay have been by learned men observed. : As also two sermons occasioned by the late blazing stars. / By Mr. Increase Mather, teacher of a church at Boston in New-England. ; [Three lines of Scripture texts]","Mather, Increase",1683,science+sermons,"t was as high as the Sun , in the beginning of February as remote from the Earth , as Mars is . The ",Blaz,"e was 14 . Degrees in Longitude , being towards the extremity spread abroad , resembling a Peacocks ",Y,LIT,,,38,,,"t was as high as the sun , in the beginning of february as remote from the earth , as mars is . the",Blaze,"was 14 . degrees in longitude , being towards the extremity spread abroad , resembling a peacocks"
418,39,365,N00277,"Kometographia. Or A discourse concerning comets; wherein the nature of blazing stars is enquired into: with an historical account of all the comets which have appeared from the beginning of the world unto this present year, M.DC.LXXXIII. : Expressing the place in the heavens, where they were seen, their motion, forms, duration; and the remarkable events which have followed in the world, so far as thay have been by learned men observed. : As also two sermons occasioned by the late blazing stars. / By Mr. Increase Mather, teacher of a church at Boston in New-England. ; [Three lines of Scripture texts]","Mather, Increase",1683,science+sermons,"woful , as that men aid in those dayes seek Death , but could not find it , Rev. 9 .6. A.D. 633 . A ",Blaz,ing Star in form of a Sword standing towards the South appeared for _ Moneth . This was attended wit,Y,LIT,,,39,,,"woful , as that men aid in those dayes seek death , but could not find it , rev. 9 .6. a.d. 633 . a",Blazing,star in form of a sword standing towards the south appeared for _ moneth . this was attended wit
419,40,593,A66213,"The missionarie's arts discovered, or, An account of their ways of insinuation, their artifices and several methods of which they serve themselves in making converts with a letter to Mr. Pulton, challenging him to make good his charge of disloyalty against Protestants, and an historical preface, containing an account of their introducing the heathen gods in their processions, and other particulars relating to the several chapters of this treatise.","Wake, William",1688,prose+letters,"hristmass Day , they set up a thatch't House like a Stall in some Corner of their Churches , with a ",Blaz,"ing - Star over it , pointing to the three Wise Men from the _ast ; within this Stall they lay a Cri",Y,LIT,,,40,,,"hristmass day , they set up a thatch't house like a stall in some corner of their churches , with a",Blazing,"- star over it , pointing to the three wise men from the _ast ; within this stall they lay a cri"
420,41,79,1105700500.a6,"The provok'd husband; or a journey to London. A comedy, as it is acted at the Theatre-Royal, by His Majesty's servants. Written by the late Sir John Vanbrugh, and Mr. Cibber.","Cibber, Colley",1728,drama_comedy,"p to my Forehead ! and away they trot ; swing ! swang ! with my Tassils dangling , and my Flambeaux ",blaz,"ing , and ---Oh ! it's a charming Thing to be a Woman of Quality ! C. Bas . Well ! I see that plainl",Y,LIT,,,41,,,"p to my forehead ! and away they trot ; swing ! swang ! with my tassils dangling , and my flambeaux",blazing,", and ---oh ! it's a charming thing to be a woman of quality ! c. bas . well ! i see that plainl"
421,42,334,N00277,"Kometographia. Or A discourse concerning comets; wherein the nature of blazing stars is enquired into: with an historical account of all the comets which have appeared from the beginning of the world unto this present year, M.DC.LXXXIII. : Expressing the place in the heavens, where they were seen, their motion, forms, duration; and the remarkable events which have followed in the world, so far as thay have been by learned men observed. : As also two sermons occasioned by the late blazing stars. / By Mr. Increase Mather, teacher of a church at Boston in New-England. ; [Three lines of Scripture texts]","Mather, Increase",1683,science+sermons,"many Comets without any such Conjunctions immediately praeceding . In few words , sometimes , many ",Blaz,ing Stars have been seen within the compass of a few years ; there have been at least ten within the,Y,LIT,,,42,,,"many comets without any such conjunctions immediately praeceding . in few words , sometimes , many",Blazing,stars have been seen within the compass of a few years ; there have been at least ten within the
422,43,139,820700200,"The character and conduct of Cicero, considered, from the history of his life, by the Reverend Dr. Middleton. With occasional essays, and observations upon the most memorable facts and persons during that period. By Colley Cibber, Esq; Servant to His Majesty.","Cibber, Colley",1747,biography/memoirs,"lance of Conviction , than all the rhetorical Flowers of Wit or painted Passions that Eloquence can ",blaz,"e in . Truth or Falshood can no more be talk'd out of one into the other , than the Sweetness or Har",Y,MET,sound,,43,,,"lance of conviction , than all the rhetorical flowers of wit or painted passions that eloquence can",blaze,"in . truth or falshood can no more be talk'd out of one into the other , than the sweetness or har"
423,45,598,A35280.a4,The destruction of Jerusalem by Titus Vespasian in two parts : as it is acted at the Theatre Royal / written by Mr. Crowne.,"Crowne, John",1677,drama,"n . Heaven's Arch ne're _hone with _uch a light before , It _eems as if _ome Angel lictour bore The ",blaz,"ing Fa_ces , at the pa__ing by Of _ome Divine Proce__ion in the Skye . Matth . Alas ! we in Jeru_ale",Y,LIT,,,45,,,"n . heaven's arch ne're _hone with _uch a light before , it _eems as if _ome angel lictour bore the",blazing,"fa_ces , at the pa__ing by of _ome divine proce__ion in the skye . matth . alas ! we in jeru_ale"
424,46,122,1598200100,"C¾sar in ®gypt. A tragedy. As it is acted at the Theatre-Royal in Drury-Lane, by His Majesty's servants. Written by Mr. Cibber.","Cibber, Colley",1725,drama,"warlike Spirit has reviv'd their Flame ! While they behold their General's Breast thus fir'd , Thus ",blaz,"ing onward , in the Course of Glory , Their glowing Hearts imbibe the Martial Ardor , Forgetful of t",Y,MET,UNK,extended,46,,,"warlike spirit has reviv'd their flame ! while they behold their general's breast thus fir'd , thus",blazing,"onward , in the course of glory , their glowing hearts imbibe the martial ardor , forgetful of t"
425,47,544,A36972,"An essay towards the theory of the intelligible world intuitively considered designed for forty-nine parts : Part III : consisting of a preface, a postscript, and a little something between / by Gabriel John ; enriched with a faithful account of his ideal voyage, and illustrated with poems by several hands, as likewise with other strange things not insufferably clever, nor furiously to the purpose.","D'Urfey, Thomas",1700,prose+poetry,"vantage of two Magnifying - Glasses , which were Concave , like the Chrystal of a modern Watch , of ",Blaz,ing Dark - Lanthorn . Many other Ceremonies and Triumphal Decorations being laid out upon the Sucess,Y,MET,UNK,,47,,,"vantage of two magnifying - glasses , which were concave , like the chrystal of a modern watch , of",Blazing,dark - lanthorn . many other ceremonies and triumphal decorations being laid out upon the sucess
426,48,157,560700200,"The compleat sportsman. In three parts. Part I. Containing the nature and various kinds of game, under their several Denominations, with the best Methods of taking the same, by Shooting, Hunting, Dogs, Nets, and otherwise; and the Laws and Statutes made for Preservation of the Game, with Warrants to impower Game-Keepers, &c. Part II. Of the best Situations and Methods of erecting and Management of Parks, Warrens, &c. Of Hunting the Buck, Doe, &c. And a concise Abridgment of the Forest-Laws, and of all the Laws and Statutes relating to Deer: Methodically interspersed with Precedents of Warrants for Deer, &c. Part III. Of fish and fishing; the most successful Methods of Angling; the only proper Baits, Tackle and agreeable Seasons for taking all Sorts of Fish; and the Rivers wherein they are to be found; with the Statutes relating to Fishing, &c.","Jacob, Giles",1718,undetermined,". Then another Person must carry some Iron or Stoney Vessel , which is to contain burning , but not ",blaz,"ing Coals , and at there you must light Bundles of Straw , or you may carry Links with you . And hav",Y,LIT,,,48,,,". then another person must carry some iron or stoney vessel , which is to contain burning , but not",blazing,"coals , and at there you must light bundles of straw , or you may carry links with you . and hav"
427,50,324,N00277,"Kometographia. Or A discourse concerning comets; wherein the nature of blazing stars is enquired into: with an historical account of all the comets which have appeared from the beginning of the world unto this present year, M.DC.LXXXIII. : Expressing the place in the heavens, where they were seen, their motion, forms, duration; and the remarkable events which have followed in the world, so far as thay have been by learned men observed. : As also two sermons occasioned by the late blazing stars. / By Mr. Increase Mather, teacher of a church at Boston in New-England. ; [Three lines of Scripture texts]","Mather, Increase",1683,science+sermons,"as , when in the form of a Sword . Ceretias when it bends like a crooked Horn . Lampadias , when it ",blaz,"eth like a Lamp . As for the true cause of the Blaze , it seems evident that it doth proceed from th",Y,LIT,,,50,,,"as , when in the form of a sword . ceretias when it bends like a crooked horn . lampadias , when it",blazeth,"like a lamp . as for the true cause of the blaze , it seems evident that it doth proceed from th"
