,Initial index,index in word-specific sheet,mass_rand,Text ID,Journal ,Context before,lemma,token,Context after,Sense,Object,unit,Singular/Plural,Construction ( need to think how I'll phrase this),Notable phrases,Preceded,Followed,Topic,commentary,Tagged context before,Tagged query item,Tagged context after,author,author-abbr,Author Frequency,title,tokens,type,year,URL,Matchbegin corpus position,Matchend corpus position
10,4273,1504,0.002638449,108557,transactions ,"the rubian was entirely decomposed . The filteired liquid left on evaporation a quantity of sugar , and the residual",mass,mass,"on the filter , which was interspersed with numerous small yellow crystals , was treated with boiling alcohol , which",N,C,None,S,DP NP,,JJ,IN,CHEMISTRY,,"the_DT rubian_NN was_VBD entirely_RB decomposed_VVN ._SENT The_DT filteired_JJ liquid_NN left_VVN on_IN evaporation_NN a_DT quantity_NN of_IN sugar_NN ,_, and_CC the_DT residual_JJ",mass_NN,"on_IN the_DT filter_NN ,_, which_WDT was_VBD interspersed_VVN with_IN numerous_JJ small_JJ yellow_JJ crystals_NNS ,_, was_VBD treated_VVN with_IN boiling_VVG alcohol_NN ,_, which_WDT",Edward Schunck,E.Schunck,117,On Rubian and Its Products of Decomposition,21220,fla,1853,https://corpora.clarin-d.uni-saarland.de/cqpweb/rsc_v6_0_1_open_web/context.php?qname=gvgfdogc1nk&batch=4272,22814397,22814397.0
11,10474,3526,0.0028385240000000003,rstl_1881_0009,rstl,perhaps partly also by the action of the ordinary precession and the contraction and change of ellipticity of the nebulous,mass,mass,. * ' ' Precession S 19 . If the change has been as much as an hour the rotational,N,S,None,S,DP NP,,JJ,SENT,ASTRONOMY,,perhaps_RB partly_RB also_RB by_IN the_DT action_NN of_IN the_DT ordinary_JJ precession_NN and_CC the_DT contraction_NN and_CC change_NN of_IN ellipticity_NN of_IN the_DT nebulous_JJ,mass_NN,._SENT *_SYM '_POS '_'' Precession_NN S_NP 19_CD ._SENT If_IN the_DT change_NN has_VHZ been_VBN as_RB much_JJ as_IN an_DT hour_NN the_DT rotational_JJ,"G. H. Darwin, F. R. S.",G.H.Darwin,291,"IX. On the tidal friction of a planet attended by several satellites, and on the evolution of the solar system.",19556,article,1881,https://corpora.clarin-d.uni-saarland.de/cqpweb/rsc_v6_0_1_open_web/context.php?qname=gvgfdogc1nk&batch=10473,41085269,41085269.0
12,4936,1832,0.002856355,108586,transactions ,"the experiments now under consideration . Further , the strength of induced currents depends on the conducting power of the",mass,mass,"in which they are formed . Expressing the conducting power of bismuth by the number 1*8 , that of copper",N,MAT,None,S,DP NP,,DT,IN,PHYSICS,,"the_DT experiments_NNS now_RB under_IN consideration_NN ._SENT Further_RBR ,_, the_DT strength_NN of_IN induced_VVN currents_NNS depends_VVZ on_IN the_DT conducting_VVG power_NN of_IN the_DT",mass_NN,"in_IN which_WDT they_PP are_VBP formed_VVN ._SENT Expressing_VVG the_DT conducting_VVG power_NN of_IN bismuth_NN by_IN the_DT number_NN 1*8_NN ,_, that_WDT of_IN copper_NN",John Tyndall,J.Tyndall,270,Further Researches on the Polarity of the Diamagnetic Force,9838,fla,1856,https://corpora.clarin-d.uni-saarland.de/cqpweb/rsc_v6_0_1_open_web/context.php?qname=gvgfdogc1nk&batch=4935,23992751,23992751.0
13,7712,2847,0.0032557090000000003,109020,transactions ,the opening-up and widening of the primordial fissure in which the notochord lies ; for the moieties of the investing,mass,mass,are seen to press closely on the notochord in the first stage ( Plate LXXXI . fig. 2 ) the,N,BIO,None,S,DP NP,,VVG,VBP,BIOLOGY,,the_DT opening-up_RB and_CC widening_VVG of_IN the_DT primordial_JJ fissure_NN in_IN which_WDT the_DT notochord_NN lies_VVZ ;_: for_IN the_DT moieties_NNS of_IN the_DT investing_VVG,mass_NN,are_VBP seen_VVN to_TO press_VV closely_RB on_IN the_DT notochord_NN in_IN the_DT first_JJ stage_NN (_( Plate_NP LXXXI_NP ._SENT fig._NN 2_CD )_) the_DT,William Kitchen Parker,W.K.Parker,107,On the Structure and Development of the Skull of the Common Fowl (Gallus domesticus),31829,fla,1869,https://corpora.clarin-d.uni-saarland.de/cqpweb/rsc_v6_0_1_open_web/context.php?qname=gvgfdogc1nk&batch=7711,31929420,31929420.0
14,8444,3086,0.003386288,rstl_1873_0007,rstl,and copper pyrites it is probable that the thallium is here present in the form of Crookesite disseminated through the,mass,mass,. The optical of detecting thallium in a mineral is very simple . A few grains of the ore are,N,MAT,None,S,DP NP,,DT,SENT,CHEMISTRY,,and_CC copper_NN pyrites_NNS it_PP is_VBZ probable_JJ that_IN the_DT thallium_NN is_VBZ here_RB present_JJ in_IN the_DT form_NN of_IN Crookesite_NN disseminated_VVN through_IN the_DT,mass_NN,._SENT The_DT optical_JJ of_IN detecting_VVG thallium_NN in_IN a_DT mineral_NN is_VBZ very_RB simple_JJ ._SENT A_DT few_JJ grains_NNS of_IN the_DT ore_NN are_VBP,"William Crookes, F. R. S. \amp;c.",W.Crookes,410,VI. Researches on the atomic weight of thallium.,18911,article,1873,https://corpora.clarin-d.uni-saarland.de/cqpweb/rsc_v6_0_1_open_web/context.php?qname=gvgfdogc1nk&batch=8443,34380640,34380640.0
15,2915,852,0.003456398,108171,transactions ,"as the compass , the correction is much more simple . It is only necessary then to introduce a single",mass,mass,"of iron at the starboard or larboard side , and at the same level as the compass . For the",N,MAT,None,S,NP 'of',,JJ,IN ,ENGINEERING,,"as_IN the_DT compass_NN ,_, the_DT correction_NN is_VBZ much_RB more_RBR simple_JJ ._SENT It_PP is_VBZ only_RB necessary_JJ then_RB to_TO introduce_VV a_DT single_JJ",mass_NN,"of_IN iron_NN at_IN the_DT starboard_JJ or_CC larboard_JJ side_NN ,_, and_CC at_IN the_DT same_JJ level_NN as_IN the_DT compass_NN ._SENT For_IN the_DT",George Biddell Airy,G.B.Airy,139,"Account of Experiments on Iron-Built Ships, Instituted for the Purpose of Discovering a Correction for the Deviation of the Compass Produced by the Iron of the Ships",20510,fla,1839,https://corpora.clarin-d.uni-saarland.de/cqpweb/rsc_v6_0_1_open_web/context.php?qname=gvgfdogc1nk&batch=2914,19292886,19292886.0
16,5315,1941,0.003631797,108644,transactions ,Let us now conceive the 1000 feet of sedimentary mass of lower conductive power to be deposited upon the unstratified,mass,mass,. The escape of the heat would at first be impeded till the temperature of the bottom of the sedimentary,N,GEO,None,S,DP NP,,JJ,SENT,GEOLOGY,,Let_VV us_PP now_RB conceive_VV the_DT 1000_CD feet_NNS of_IN sedimentary_JJ mass_NN of_IN lower_JJR conductive_JJ power_NN to_TO be_VB deposited_VVN upon_IN the_DT unstratified_JJ,mass_NN,._SENT The_DT escape_NN of_IN the_DT heat_NN would_MD at_IN first_RB be_VB impeded_VVN till_IN the_DT temperature_NN of_IN the_DT bottom_NN of_IN the_DT sedimentary_JJ,W. Hopkins,W.Hopkins,222,"Experimental Researches on the Conductive Powers of Various Substances, with the Application of the Results to the Problem of Terrestrial Temperature",18495,fla,1857,https://corpora.clarin-d.uni-saarland.de/cqpweb/rsc_v6_0_1_open_web/context.php?qname=gvgfdogc1nk&batch=5314,24932889,24932889.0
17,5050,1880,0.003905942,111495,transactions ,lowering of temperature produced by removing a quantity of heat equal to t -dT mx~ dt ' from an equal,mass,mass,of liquid unchanged in form . For water T=2'96 gr. per lineal inch . Work per square inch spent in,M,F,None,S,DP NP,,JJ,IN,CHEMISTRY,"unclear, and not utterly convinced, could be either",lowering_VVG of_IN temperature_NN produced_VVN by_IN removing_VVG a_DT quantity_NN of_IN heat_NN equal_JJ to_TO t_NN -dT_NP mx~_NP dt_NP '_POS from_IN an_DT equal_JJ,mass_NN,of_IN liquid_JJ unchanged_JJ in_IN form_NN ._SENT For_IN water_NN T=2'96_NP gr._NP per_IN lineal_JJ inch_NN ._SENT Work_NN per_IN square_JJ inch_NN spent_VVN in_IN,William Thomson,W.Thomson,101,On the Thermal Effect of Drawing out a Film of Liquid,646,fla,1857,https://corpora.clarin-d.uni-saarland.de/cqpweb/rsc_v6_0_1_open_web/context.php?qname=gvgfdogc1nk&batch=5049,24336744,24336744.0
18,3219,1053,0.004930365999999999,108142,transactions ,", it would seem that the only conceivable causes which can affect the degree of solidity or fluidity of the",mass,mass,", are temperature and pressure . It may be doubted by some persons whether solidification be actually promoted by the",N,GEO,None,S,DP NP,,DT,VBP,GEOLOGY,,",_, it_PP would_MD seem_VV that_IN the_DT only_JJ conceivable_JJ causes_NNS which_WDT can_MD affect_VV the_DT degree_NN of_IN solidity_NN or_CC fluidity_NN of_IN the_DT",mass_NN,",_, are_VBP temperature_NN and_CC pressure_NN ._SENT It_PP may_MD be_VB doubted_VVD by_IN some_DT persons_NNS whether_IN solidification_NN be_VB actually_RB promoted_VVN by_IN the_DT",W. Hopkins,W.Hopkins,222,Researches in Physical Geology. Third Series,6244,article,1842,https://corpora.clarin-d.uni-saarland.de/cqpweb/rsc_v6_0_1_open_web/context.php?qname=gvgfdogc1nk&batch=3218,19902570,69841748.0
19,10635,3591,0.00496482,rstl_1882_0009,rstl,". , and for mt.pg . read OF THE SKULL IN ' LEPIDOSTEUS OSSEUS . turn passes into the investing",mass,mass,"( iv . ) below . There the cartilage is a thick wedge , right and left , and the",N,BIO,None,S,DP NP,,VVG,SENT,BIOLOGY,,"._SENT ,_, and_CC for_IN mt.pg_NN ._SENT read_VVN OF_IN THE_DT SKULL_NN IN_IN '_'' LEPIDOSTEUS_NP OSSEUS_NP ._SENT turn_NN passes_VVZ into_IN the_DT investing_VVG",mass_NN,"(_( iv_NP ._SENT )_) below_RB ._SENT There_RB the_DT cartilage_NN is_VBZ a_DT thick_JJ wedge_NN ,_, right_NN and_CC left_VVD ,_, and_CC the_DT","William Kitchen Parker, F. R. S.",W.K.Parker,457,VIII. On the development of the skull in lepidosteus osseus.,32709,article,1882,https://corpora.clarin-d.uni-saarland.de/cqpweb/rsc_v6_0_1_open_web/context.php?qname=gvgfdogc1nk&batch=10634,41750895,41750895.0
20,10446,3498,0.005184999,rstl_1881_0009,rstl,"mean solar day , Combining these values I find for the earth 's rotational momentum Writing for the moon 's",mass,mass,", and neglecting the eccentricity of the lunar orbit , the moon 's orbital momentum is * If we determine",M,S,None,S,DP NP,,NN's-POS,CC,ASTRONOMY,,"mean_JJ solar_JJ day_NN ,_, Combining_VVG these_DT values_NNS I_PP find_VVP for_IN the_DT earth_NN 's_POS rotational_JJ momentum_NN Writing_VVG for_IN the_DT moon_NN 's_POS",mass_NN,",_, and_CC neglecting_VVG the_DT eccentricity_NN of_IN the_DT lunar_JJ orbit_NN ,_, the_DT moon_NN 's_POS orbital_JJ momentum_NN is_VBZ *_SYM If_IN we_PP determine_VVP","G. H. Darwin, F. R. S.",G.H.Darwin,291,"IX. On the tidal friction of a planet attended by several satellites, and on the evolution of the solar system.",19556,article,1881,https://corpora.clarin-d.uni-saarland.de/cqpweb/rsc_v6_0_1_open_web/context.php?qname=gvgfdogc1nk&batch=10445,41079059,41079059.0
21,13508,4189,0.005498955,rstb_1894_0012,rstb,"the subarchesporial pad , has its physiological interest . The sporangium is an unusually large one , and the spore-producing",mass,mass,"very bulky ; the difficulties of supply of nourishment to so large a mass are obvious , and would be",N,BIO,None,S,DP NP,,VVG,RB,BIOLOGY,,"the_DT subarchesporial_JJ pad_NN ,_, has_VHZ its_PP$ physiological_JJ interest_NN ._SENT The_DT sporangium_NN is_VBZ an_DT unusually_RB large_JJ one_CD ,_, and_CC the_DT spore-producing_VVG",mass_NN,"very_RB bulky_JJ ;_: the_DT difficulties_NNS of_IN supply_NN of_IN nourishment_NN to_TO so_RB large_JJ a_DT mass_NN are_VBP obvious_JJ ,_, and_CC would_MD be_VB","F. O. Bower, D. Sc., F. R. S.",F.O.Bower,131,Studies in the morphology of spore-producing members.\#x2014;Equisetine\#xE6; and Lycopodine\#xE6;.,58763,article,1894,https://corpora.clarin-d.uni-saarland.de/cqpweb/rsc_v6_0_1_open_web/context.php?qname=gvgfdogc1nk&batch=13507,53360853,53360853.0
22,5687,2078,0.005833926,108701,transactions ,", vertical below it ; still this difficulty may be due to our ignorance of the mechanical conditions of the",mass,mass,during its descent . In this way it would be quite possible to fritter away conviction to a mere opinion,N,GEO,None,S,DP NP,,DT,IN,GEOLOGY,,",_, vertical_JJ below_IN it_PP ;_: still_RB this_DT difficulty_NN may_MD be_VB due_JJ to_TO our_PP$ ignorance_NN of_IN the_DT mechanical_JJ conditions_NNS of_IN the_DT",mass_NN,during_IN its_PP$ descent_NN ._SENT In_IN this_DT way_NN it_PP would_MD be_VB quite_RB possible_JJ to_TO fritter_VV away_RP conviction_NN to_TO a_DT mere_JJ opinion_NN,John Tyndall,J.Tyndall,270,"On the Veined Structure of Glaciers; with Observations upon White Ice-Seams, Air-Bubbles and Dirt-Bands, and Remarks upon Glacier Theories",15158,fla,1859,https://corpora.clarin-d.uni-saarland.de/cqpweb/rsc_v6_0_1_open_web/context.php?qname=gvgfdogc1nk&batch=5686,25805971,25805971.0
23,11459,3762,0.005916623,rspl_1886_0100,rspl,Phiiosophy ' as generally confirmatory of Thomson 's view as to the great eifective rigidity of the whole earth 's,mass,mass,". There is one tide , however , of long period of which Laplace 's argument from friction must hold",M,S,None,S,DP NP,,NN's-POS,SENT,GEOLOGY,,Phiiosophy_NP '_POS as_RB generally_RB confirmatory_JJ of_IN Thomson_NP 's_POS view_NN as_RB to_TO the_DT great_JJ eifective_JJ rigidity_NN of_IN the_DT whole_JJ earth_NN 's_POS,mass_NN,"._SENT There_EX is_VBZ one_CD tide_NN ,_, however_RB ,_, of_IN long_JJ period_NN of_IN which_WDT Laplace_NP 's_POS argument_NN from_IN friction_NN must_MD hold_VV","G. H. Darwin, LL. D., F. R. S.",G.H.Darwin,152,IV. On the dynamical theory of the tides of long period.,1309,abstract,1886,https://corpora.clarin-d.uni-saarland.de/cqpweb/rsc_v6_0_1_open_web/context.php?qname=gvgfdogc1nk&batch=11458,44995022,44995022.0
24,3354,1120,0.005991089000000001,108378,transactions ,be the same in all the observations which shall be made according to this system . For the unit of,mass,mass,", then , we may take a grain ; for the unit of time a second ; and , if",M,CONCEPT,GRAINS,S,OF' NP,Unit of ,IN,RB,GEOLOGY,explicitly differentiate mass and force in previous section,be_VB the_DT same_JJ in_IN all_PDT the_DT observations_NNS which_WDT shall_MD be_VB made_VVN according_VVG to_TO this_DT system_NN ._SENT For_IN the_DT unit_NN of_IN,mass_NN,",_, then_RB ,_, we_PP may_MD take_VV a_DT grain_NN ;_: for_IN the_DT unit_NN of_IN time_NN a_DT second_JJ ;_: and_CC ,_, if_IN",Edward Sabine,E.Sabine,307,Contributions to Terrestrial Magnetism. No. IV,8010,fla,1843,https://corpora.clarin-d.uni-saarland.de/cqpweb/rsc_v6_0_1_open_web/context.php?qname=gvgfdogc1nk&batch=3353,20372246,20372246.0
25,2544,627,0.006057195,108074,transactions ,many solutions . It is allowed on all hands that there is a rmutual connexion between the figure of a,mass,mass,"of fluid and the attractions it exerts upon its particles : the relation which these two things , alike unknown",N,F,None,S,NP 'of',Mass of Fluid,DT,IN,PHYSICS,CHECK,many_JJ solutions_NNS ._SENT It_PP is_VBZ allowed_VVN on_IN all_DT hands_NNS that_IN there_EX is_VBZ a_DT rmutual_JJ connexion_NN between_IN the_DT figure_NN of_IN a_DT,mass_NN,"of_IN fluid_NN and_CC the_DT attractions_NNS it_PP exerts_VVZ upon_IN its_PP$ particles_NNS :_: the_DT relation_NN which_WDT these_DT two_CD things_NNS ,_, alike_RB unknown_JJ",James Ivory,J.Ivory,365,On the Equilibrium of a Mass of Homogeneous Fluid at Liberty,20924,fla,1834,https://corpora.clarin-d.uni-saarland.de/cqpweb/rsc_v6_0_1_open_web/context.php?qname=gvgfdogc1nk&batch=2543,18104473,30040620.0
26,4322,1536,0.006120963,108563,transactions ,"of parts which is perpetually presented to the student of natural science . In the latter case especially , the",mass,mass,"of horn in close contact with the skull , and therefore capable of transimitting heat directly to the animal 's",N,BIO,None,S,NP 'of',,DT,IN,PHYSICS,,"of_IN parts_NNS which_WDT is_VBZ perpetually_RB presented_VVN to_TO the_DT student_NN of_IN natural_JJ science_NN ._SENT In_IN the_DT latter_JJ case_NN especially_RB ,_, the_DT",mass_NN,"of_IN horn_NN in_IN close_JJ contact_NN with_IN the_DT skull_NN ,_, and_CC therefore_RB capable_JJ of_IN transimitting_VVG heat_NN directly_RB to_TO the_DT animal_NN 's_POS",John Tyndall,J.Tyndall,270,On Molecular Influences. Part I. Transmission of Heat through Organic Structures,8040,fla,1853,https://corpora.clarin-d.uni-saarland.de/cqpweb/rsc_v6_0_1_open_web/context.php?qname=gvgfdogc1nk&batch=4321,22895549,22895549.0
27,3231,1065,0.006124066,108142,transactions ,"of the great difference between the direct action of a force on a solid , and that on a fluid",mass,mass,", in its tendency to produce rotatory motion . We have seen , in fact , that the disturbing forces",N,F,None,S,DP NP,fluid mass,JJ,IN,GEOLOGY,BUT SEEM SEEM TO BE THE KIND OF ARTICLE WHERE IT'S DIFFERENTIATED ,"of_IN the_DT great_JJ difference_NN between_IN the_DT direct_JJ action_NN of_IN a_DT force_NN on_IN a_DT solid_JJ ,_, and_CC that_IN on_IN a_DT fluid_JJ",mass_NN,",_, in_IN its_PP$ tendency_NN to_TO produce_VV rotatory_JJ motion_NN ._SENT We_PP have_VHP seen_VVN ,_, in_IN fact_NN ,_, that_IN the_DT disturbing_JJ forces_NNS",W. Hopkins,W.Hopkins,222,Researches in Physical Geology. Third Series,6244,article,1842,https://corpora.clarin-d.uni-saarland.de/cqpweb/rsc_v6_0_1_open_web/context.php?qname=gvgfdogc1nk&batch=3230,19906683,64474156.0
